,tempmax,PM2.5 AVG,tempmin,condition_rainy,temp,dew,humidity,windspeed,winddir,sealevelpressure,visibility,solarenergy,sun_duration,cloudcover,search_hospital,cpi_health_PoP,cpi_Food_Beverages_PoP,cpi_health_YoY,vehicles_units_PoP,uvindex,cpi_FaB,cpi_health,cpi_tobacco_intoxicants,vehicles_units,cpi_tobacco_intoxicants_distributed,cpi_FaB_distributed
2023-01-01,21.6,314.0,7.9142857142857155,1,12.514285714285714,0.7142857142857143,48.2,13.742857142857144,325.90000000000003,1019.1714285714286,20.32857142857143,10.142857142857142,609.7333333333333,45.3,21,0.09892594686263,-0.27536231884058,31.5945465323059,-0.23308270676692,4.714285714285714,170.95359099034462,178.89666391204668,177.3721934676653,8270,49.325,43.975
2023-01-08,19.3,301.0,4.942857142857143,0,9.671428571428573,-0.8428571428571429,51.18571428571429,12.242857142857144,323.24285714285713,1022.5285714285714,20.214285714285715,12.442857142857145,613.1333333333333,19.885714285714283,40,0.2393018018018,-0.20515826494725,5.53266627427899,13.8895169191348,5.857142857142857,170.78459390143811,179.08130981608457,177.67402235851964,10053,49.325,43.975
2023-01-15,21.4,348.0,7.5,1,12.1,3.042857142857143,56.9,13.757142857142856,263.0571428571429,1016.3285714285714,20.342857142857145,11.62857142857143,618.5571428571428,40.5,0,0.2393018018018,-0.20515826494725,5.53266627427899,-39.39915299100053,5.571428571428571,170.6107233342407,179.26528480572466,177.98729903289947,8666,49.325,43.975
2023-01-22,21.7,213.0,6.271428571428571,1,11.614285714285714,2.171428571428572,55.62857142857143,11.928571428571429,283.35714285714283,1018.3,20.67142857142857,12.714285714285714,625.7880952380953,39.7,100,0.2393018018018,-0.20515826494725,5.53266627427899,39.5392006988425,5.857142857142857,170.43513035978197,179.44857216225836,178.3045596356406,7838,49.325,43.975
2023-01-29,22.8,289.0,8.171428571428573,3,12.885714285714286,6.5,67.97142857142858,16.914285714285715,242.1428571428572,1016.5142857142856,18.928571428571427,11.914285714285716,634.5666666666666,39.25714285714286,59,0.2393018018018,-0.20515826494725,5.53266627427899,-15.49417012285782,5.857142857142857,170.26096604909137,179.631155166977,178.61834031157883,9131,39.64,35.34
2023-02-05,25.1,215.0,9.342857142857143,2,14.62857142857143,7.2,64.02857142857142,17.8,299.6428571428572,1016.4714285714286,20.357142857142858,14.714285714285714,644.6380952380953,26.15714285714285,77,0.12269938650307,-0.13002364066194,5.68248388986525,19.3351236225576,6.857142857142857,170.0913814731984,179.81301710117197,178.92117720554992,9342,39.64,35.34
2023-02-12,27.7,206.0,10.314285714285717,0,16.114285714285714,3.942857142857143,47.25714285714286,16.67142857142857,228.3,1013.4142857142856,20.642857142857142,15.614285714285714,655.7119047619047,29.0,91,0.12269938650307,-0.13002364066194,5.68248388986525,-20.22968883370839,6.857142857142857,169.92952770313263,179.99414124613455,179.2056064623897,10346,39.64,35.34
2023-02-19,32.6,282.0,11.014285714285714,0,18.142857142857142,3.6571428571428575,41.94285714285714,15.985714285714286,260.0142857142857,1014.842857142857,20.52857142857143,16.414285714285715,667.5571428571428,43.15714285714286,57,0.12269938650307,-0.13002364066194,5.68248388986525,-4.97081712062257,7.0,169.77855580992355,180.17451088315624,179.46416422693395,10641,39.64,35.34
2023-02-26,32.3,317.0,13.0,0,20.714285714285715,2.7142857142857144,34.3,15.214285714285714,228.27142857142857,1013.3857142857142,20.571428571428573,17.585714285714285,679.9761904761905,32.0,29,0.12269938650307,-0.13002364066194,5.68248388986525,18.3744497901525,7.571428571428571,169.64161686460073,180.35410929352838,179.68938664401838,10088,39.64,35.34
2023-03-05,31.5,192.0,14.4,2,21.285714285714285,5.385714285714286,39.01428571428571,15.44285714285714,242.0428571428572,1018.4571428571428,21.014285714285712,18.428571428571427,692.7952380952381,37.37142857142857,97,0.12269938650307,-0.13002364066194,5.68248388986525,0.47561397440332,7.714285714285714,169.52186193819367,180.5329197585423,179.87509062351637,9615,49.75,44.15
2023-03-12,34.7,152.0,14.1,0,22.485714285714288,2.157142857142857,29.65714285714285,12.814285714285717,175.57142857142858,1015.157142857143,20.67142857142857,20.571428571428573,705.8714285714286,19.414285714285715,28,0.18015521064301,0.16359309934563,5.88578088578088,15.0959635080472,8.0,169.42244210173183,180.7109255594894,180.02767531102893,8315,49.75,44.15
2023-03-19,35.8,148.0,15.985714285714286,2,23.057142857142857,5.285714285714286,37.957142857142856,14.185714285714283,168.15714285714287,1010.4857142857144,20.74285714285714,18.31428571428572,719.0785714285714,58.1,0,0.18015521064301,0.16359309934563,5.88578088578088,2.04890450908547,8.142857142857142,169.3465084262448,180.8881099776611,180.16068139800603,10265,49.75,44.15
2023-03-26,31.1,108.0,14.62857142857143,5,20.1,11.55714285714286,61.92857142857143,17.985714285714284,171.22857142857143,1009.8571428571428,20.014285714285712,18.2,732.3238095238095,54.08571428571429,35,0.18015521064301,0.16359309934563,5.88578088578088,-5.3784714589287,8.142857142857142,169.2972119827621,181.06445629434864,180.28773154485992,8158,49.75,44.15
2023-04-02,32.4,88.0,16.257142857142856,4,21.27142857142857,11.414285714285716,58.17142857142857,16.785714285714285,140.65714285714284,1009.657142857143,19.52857142857143,18.52857142857143,745.5119047619047,60.22857142857144,25,0.18015521064301,0.16359309934563,5.88578088578088,-2.40068148377604,8.428571428571429,169.27770384231317,181.23994779084353,180.4224484120029,11370,49.875,44.25
2023-04-09,35.0,104.0,17.257142857142856,1,23.75714285714286,7.014285714285714,39.371428571428574,16.04285714285714,333.4714285714286,1011.7428571428572,20.685714285714287,23.785714285714285,758.5380952380953,21.9,46,0.08255365987892,0.31028368794327,6.05002908667831,-15.8771721018805,8.857142857142858,169.2911350759276,181.41456774843704,180.57845465984727,8236,49.875,44.25
2023-04-16,41.0,137.0,22.571428571428573,0,30.12857142857143,2.857142857142857,19.542857142857144,17.95714285714286,286.9,1008.8714285714286,20.642857142857142,25.32857142857143,771.3142857142857,25.27142857142857,66,0.08255365987892,0.31028368794327,6.05002908667831,-15.8771721018805,9.571428571428571,169.3406567546349,181.58829944842057,180.7693729488053,7824,49.875,44.25
2023-04-23,41.8,162.0,21.457142857142856,5,27.842857142857145,7.914285714285714,33.0,24.228571428571428,102.61428571428571,1005.5285714285714,20.485714285714288,23.214285714285715,783.7071428571428,43.54285714285714,86,0.08255365987892,0.31028368794327,6.05002908667831,-15.8771721018805,9.428571428571429,169.4294199494646,181.76112617208554,181.0088259392894,7808,49.875,44.25
2023-04-30,37.9,251.0,22.685714285714287,3,28.571428571428573,7.6571428571428575,29.37142857142857,21.685714285714287,172.07142857142858,1007.8857142857142,20.685714285714287,23.17142857142857,795.5904761904761,68.62857142857142,54,0.08255365987892,0.31028368794327,6.05002908667831,39.3832435444919,9.0,171.3,182.3,180.5,8149,50.15,44.475
2023-05-07,38.7,103.0,21.357142857142858,7,26.414285714285715,13.257142857142856,49.114285714285714,20.785714285714285,180.5,1007.6142857142858,20.042857142857144,22.4,806.7904761904763,48.35714285714285,36,0.16456390565003,0.13134851138353,5.94688221709008,-30.6410769025723,8.857142857142858,169.73727517160916,182.10399781562512,181.6878266664847,8695,50.15,44.475
